orders;products;time
1;300;5.486714839935303
11;300;5.508996486663818
21;300;5.5957932472229
31;300;5.585803270339966
41;300;5.531625747680664
51;300;5.643590450286865
61;300;5.625691890716553
71;300;5.834711313247681
81;300;5.703573226928711
91;300;5.817622661590576
101;300;5.873591899871826
111;300;6.0510594844818115
121;300;6.044165134429932
131;300;6.162889242172241
141;300;6.3150646686553955
151;300;6.513763427734375
161;300;6.603997230529785
171;300;6.621762037277222
181;300;6.813325881958008
191;300;7.226254463195801
201;300;7.175944089889526
211;300;7.571798801422119
221;300;7.1883649826049805
231;300;7.697345495223999
241;300;7.88196873664856
251;300;8.452682256698608
261;300;8.519371032714844
271;300;8.67210340499878
281;300;8.420518159866333
291;300;5.842874050140381
301;300;5.771177768707275
311;300;6.022450685501099
321;300;6.059391736984253
331;300;6.027788877487183
341;300;5.969630241394043
351;300;5.998361587524414
361;300;5.874863147735596
371;300;6.091448783874512
381;300;6.169028282165527
391;300;6.416510820388794
401;300;6.2670934200286865
411;300;6.13224720954895
421;300;5.670336961746216
431;300;6.197331666946411
441;300;6.317499876022339
451;300;6.130268335342407
461;300;6.1915600299835205
471;300;6.118418216705322
481;300;5.835079908370972
491;300;6.376191139221191
